geneID,name,altName,description,chr,start,stop,strand,dist2Telo,upstreamOrient,upstreamDist,downstreamOrient,downstreamDist,type,exons,tsLength,spliceAlt,pseudo,tmDom,signalP,loc,subtelo.HP1,ap2gMotifs_1k,ap2gMotifs_3k,family,cvge,heterochrom,hda2KD,hp1KD,combined,trophPep,egcPep,lgcPep,eGC.Troph.ratio,lGC.Troph.ratio,tsGenLoc
PF3D7_0101100,EPF4,EPF4 PF3D7_0101100,exported protein family 4 (EPF4),Pf3D7_01_v3,69304,70417,(-),70417,opposite,1206,same,2314,protein,2,930,0,0,3,1,exported,TRUE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 69304 - 70417 (-)
PF3D7_0101200,EPF3,EPF3 PF3D7_0101200,exported protein family 3 (EPF3),Pf3D7_01_v3,71624,72426,(+),71624,opposite,1206,same,2136,protein,2,693,0,0,1,1,exported,TRUE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 71624 - 72426 (+)
PF3D7_0101300,MC-2TM PF3D7_0101300,MC-2TM PF3D7_0101300,Pfmc-2TM Maurer's cleft two transmembrane protein (MC-2TM),Pf3D7_01_v3,74563,75366,(+),74563,same,2136,opposite,615,protein,2,708,0,0,3,1,exported,TRUE,0,0,Pfmc-2TM,1,1,1,1,4,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 74563 - 75366 (+)
PF3D7_0101400,EPF1,EPF1 PF3D7_0101400,exported protein family 1 pseudogene (EPF1),Pf3D7_01_v3,75982,76809,(-),76809,opposite,1431,opposite,615,protein,1,828,0,1,0,1,exported,TRUE,0,0,other,0,1,0,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 75982 - 76809 (-)
PF3D7_0101500,VAR PF3D7_0101500,VAR PF3D7_0101500,erythrocyte membrane protein 1 (PfEMP1) exon 2 pseudogene (VAR),Pf3D7_01_v3,78241,79891,(+),78241,opposite,1431,opposite,1873,protein,3,1647,0,1,0,0,exported,TRUE,0,0,var,0,0,1,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 78241 - 79891 (+)
PF3D7_0101600,RIF PF3D7_0101600,RIF PF3D7_0101600,rifin (RIF),Pf3D7_01_v3,81765,83106,(-),83106,same,1684,opposite,1873,protein,2,1110,0,0,1,0,exported,TRUE,0,0,rifin,0,1,0,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 81765 - 83106 (-)
PF3D7_0101700,VAR PF3D7_0101700,VAR PF3D7_0101700,erythrocyte membrane protein 1 (PfEMP1) exon 2 pseudogene (VAR),Pf3D7_01_v3,84791,86152,(-),86152,same,1050,same,1684,protein,3,1359,0,1,4,0,exported,TRUE,0,0,var,0,1,0,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 84791 - 86152 (-)
PF3D7_0101800,STEVOR PF3D7_0101800,STEVOR PF3D7_0101800,stevor,Pf3D7_01_v3,87203,88177,(-),88177,same,2064,same,1050,protein,2,870,0,0,3,1,exported,TRUE,0,1,stevor,0,1,0,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 87203 - 88177 (-)
PF3D7_0101900,RIF PF3D7_0101900,RIF PF3D7_0101900,rifin (RIF),Pf3D7_01_v3,90242,91420,(-),91420,same,1692,same,2064,protein,2,1032,0,0,1,1,exported,TRUE,0,1,rifin,0,1,0,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 90242 - 91420 (-)
PF3D7_0102000,PF3D7_0102000 protein,PF3D7_0102000 protein,Plasmodium exported protein (PHISTa) unknown function pseudogene,Pf3D7_01_v3,93113,93875,(-),93875,opposite,1174,same,1692,protein,3,759,0,1,0,0,exported,TRUE,0,0,PHISTa,1,1,0,0,2,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 93113 - 93875 (-)
PF3D7_0102100,STEVOR PF3D7_0102100,STEVOR PF3D7_0102100,stevor pseudogene,Pf3D7_01_v3,95050,95899,(+),95050,opposite,1174,same,2919,protein,4,846,0,1,2,0,exported,TRUE,0,0,stevor,0,1,0,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 95050 - 95899 (+)
PF3D7_0102200,RESA,RESA,ring-infected erythrocyte surface antigen (RESA),Pf3D7_01_v3,98819,102282,(+),98819,same,2919,same,2421,protein,2,3258,0,0,0,0,exported,FALSE,0,0,RESA,1,0,1,0,2,0,3,3,9.225354616,9.225354616,Pf3D7_01_v3: 98819 - 102282 (+)
PF3D7_0102300,PF3D7_0102300 protein,PF3D7_0102300 protein,Plasmodium exported protein unknown function,Pf3D7_01_v3,104704,105209,(+),104704,same,2421,opposite,1987,protein,2,354,0,0,0,1,exported,FALSE,0,1,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 104704 - 105209 (+)
PF3D7_0102400,PF3D7_0102400 protein,PF3D7_0102400 protein,lysophospholipase putative pseudogene,Pf3D7_01_v3,107197,108348,(-),108348,same,2401,opposite,1987,protein,1,1152,0,1,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 107197 - 108348 (-)
PF3D7_0102500,EBA181,EBA181,erythrocyte binding antigen-181 (EBA181),Pf3D7_01_v3,110750,115799,(-),115799,same,3241,same,2401,protein,4,4704,0,0,2,1,microneme,FALSE,0,4,invasion/motility,0,0,1,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 110750 - 115799 (-)
PF3D7_0102600,FIKK1,FIKK1,serine/threonine protein kinase FIKK family (FIKK1),Pf3D7_01_v3,119041,121249,(-),121249,opposite,3267,same,3241,protein,3,1893,0,0,1,1,exported,FALSE,0,0,FIKK,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 119041 - 121249 (-)
PF3D7_0102700,MaTrA,MaTrA,merozoite-associated tryptophan-rich antigen (MaTrA),Pf3D7_01_v3,124517,125484,(+),124517,opposite,3267,opposite,833,protein,2,831,0,0,0,1,secretoryPathway,FALSE,0,2,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 124517 - 125484 (+)
PF3D7_0102800,PF3D7_0102800 protein,PF3D7_0102800 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,126318,128141,(-),128141,same,818,opposite,833,protein,1,1824,0,0,3,0,secretoryPathway,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 126318 - 128141 (-)
PF3D7_0102900,PF3D7_0102900 protein,PF3D7_0102900 protein,aspartate--tRNA ligase,Pf3D7_01_v3,128960,130840,(-),130840,same,1245,same,818,protein,1,1881,0,0,0,0,0,FALSE,0,1,other,0,0,0,0,0,19,13,13,0.444597369,0.444597369,Pf3D7_01_v3: 128960 - 130840 (-)
PF3D7_0103000,PF3D7_0103000 protein,PF3D7_0103000 protein,vacuolar protein sorting-associated protein VTA1 putative,Pf3D7_01_v3,132086,133624,(-),133624,same,728,same,1245,protein,7,780,0,0,0,0,0,FALSE,1,1,other,0,0,0,0,0,3,0,0,-7.241884738,-7.241884738,Pf3D7_01_v3: 132086 - 133624 (-)
PF3D7_0103100,VPS51,VPS51,vacuolar protein sorting-associated protein 51 putative (VPS51),Pf3D7_01_v3,134353,139257,(-),139257,same,1404,same,728,protein,1,4905,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 134353 - 139257 (-)
PF3D7_0103200,NT4,NT4,nucleoside transporter 4 (NT4),Pf3D7_01_v3,140662,142219,(-),142219,same,1420,same,1404,protein,2,1305,0,0,11,1,intergralMembrane,FALSE,0,0,other,0,0,0,0,0,4,0,0,-7.655723488,-7.655723488,Pf3D7_01_v3: 140662 - 142219 (-)
PF3D7_0103300,PF3D7_0103300 protein,PF3D7_0103300 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,143640,146396,(-),146396,same,1518,same,1420,protein,1,2757,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 143640 - 146396 (-)
PF3D7_0103400,PF3D7_0103400 protein,PF3D7_0103400 protein,zinc-carboxypeptidase putative,Pf3D7_01_v3,147915,152777,(-),152777,opposite,1398,same,1518,protein,1,4863,0,0,0,0,0,FALSE,2,2,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 147915 - 152777 (-)
PF3D7_0103500,PF3D7_0103500 protein,PF3D7_0103500 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,154176,160426,(+),154176,opposite,1398,same,704,protein,7,5472,0,0,1,0,secretoryPathway,FALSE,2,2,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 154176 - 160426 (+)
PF3D7_0103600,PF3D7_0103600 protein,PF3D7_0103600 protein,ATP-dependent RNA helicase putative,Pf3D7_01_v3,161131,166229,(+),161131,same,704,same,283,protein,3,4605,0,0,1,1,secretoryPathway,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 161131 - 166229 (+)
PF3D7_0103700,PSTK,PSTK,L-seryl-tRNA(Sec) kinase putative (PSTK),Pf3D7_01_v3,166513,168687,(+),166513,same,283,opposite,391,protein,6,1608,0,0,0,0,0,FALSE,1,1,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 166513 - 168687 (+)
PF3D7_0103800,ARP1,ARP1,actin-related protein (ARP1),Pf3D7_01_v3,169079,171273,(-),171273,opposite,1590,opposite,391,protein,10,1143,0,0,0,0,0,FALSE,1,1,other,0,0,0,0,0,14,1,1,-2.802294819,-2.802294819,Pf3D7_01_v3: 169079 - 171273 (-)
PF3D7_0103900,PIEPS15,PIEPS15,parasite-infected erythrocyte surface protein (PIEPS15),Pf3D7_01_v3,172864,174591,(+),172864,opposite,1590,same,1017,protein,1,1728,0,0,1,1,exported,FALSE,1,1,other,0,0,0,0,0,18,17,17,0.909319899,0.909319899,Pf3D7_01_v3: 172864 - 174591 (+)
PF3D7_0104000,TRSP,TRSP,thrombospondin-related sporozoite protein (TRSP),Pf3D7_01_v3,175609,176376,(+),175609,same,1017,same,1710,protein,3,492,0,0,1,1,secretoryPathway,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 175609 - 176376 (+)
PF3D7_0104100,PF3D7_0104100 protein,PF3D7_0104100 protein,conserved Plasmodium membrane protein unknown function,Pf3D7_01_v3,178087,180790,(+),178087,same,1710,opposite,2031,protein,2,2376,0,0,5,0,intergralMembrane,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 178087 - 180790 (+)
PF3D7_0104200,PF3D7_0104200 protein,PF3D7_0104200 protein,StAR-related lipid transfer protein,Pf3D7_01_v3,182822,184222,(-),184222,opposite,6046,opposite,2031,protein,1,1401,0,0,0,1,exported,FALSE,1,2,other,0,0,0,0,0,2,6,6,2.571904428,2.571904428,Pf3D7_01_v3: 182822 - 184222 (-)
PF3D7_0104300,UBP1,UBP1,ubiquitin carboxyl-terminal hydrolase 1 putative (UBP1),Pf3D7_01_v3,190269,201230,(+),190269,opposite,6046,same,1305,protein,3,10500,0,0,0,0,0,FALSE,0,1,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 190269 - 201230 (+)
PF3D7_0104400,LytB,LytB,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (LytB),Pf3D7_01_v3,202536,204143,(+),202536,same,1305,opposite,478,protein,1,1608,0,0,1,0,apicoplast,FALSE,1,2,other,0,0,0,0,0,3,1,1,-0.583673255,-0.583673255,Pf3D7_01_v3: 202536 - 204143 (+)
PF3D7_0104500,PF3D7_0104500 protein,PF3D7_0104500 protein,conserved protein unknown function,Pf3D7_01_v3,204622,205455,(-),205455,opposite,714,opposite,478,protein,1,834,0,0,0,1,secretoryPathway,FALSE,2,2,other,0,0,0,0,0,10,4,4,-0.328032893,-0.328032893,Pf3D7_01_v3: 204622 - 205455 (-)
PF3D7_0104600,PF3D7_0104600 protein,PF3D7_0104600 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,206170,210189,(+),206170,opposite,714,same,680,protein,1,4020,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 206170 - 210189 (+)
PF3D7_0104700,PF3D7_0104700 protein,PF3D7_0104700 protein,transporter putative,Pf3D7_01_v3,210870,213005,(+),210870,same,680,same,2770,protein,1,2136,0,0,12,1,intergralMembrane,FALSE,0,0,other,0,0,0,0,0,1,0,0,-5.666476544,-5.666476544,Pf3D7_01_v3: 210870 - 213005 (+)
PF3D7_0104800,NPT1,NPT1,novel putative transporter 1 (NPT1),Pf3D7_01_v3,215776,217509,(+),215776,same,2770,opposite,1007,protein,1,1734,0,0,12,0,intergralMembrane,FALSE,1,2,other,0,0,1,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 215776 - 217509 (+)
PF3D7_0104900,PF3D7_0104900 ncRNA,PF3D7_0104900 ncRNA,RNase MRP,Pf3D7_01_v3,218517,218824,(-),218824,same,69,opposite,1007,ncRNA,1,308,0,0,NA,NA,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 218517 - 218824 (-)
PF3D7_0105000,PF3D7_0105000 ncRNA,PF3D7_0105000 ncRNA,unspecified product,Pf3D7_01_v3,218894,219223,(-),219223,opposite,1978,same,69,ncRNA,1,330,0,0,NA,NA,0,FALSE,0,0,ncRNA,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 218894 - 219223 (-)
PF3D7_0105100,PF3D7_0105100 protein,PF3D7_0105100 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,221202,221633,(+),221202,opposite,1978,opposite,620,protein,1,432,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 221202 - 221633 (+)
PF3D7_0105200,PF3D7_0105200 protein,PF3D7_0105200 protein,RAP protein putative,Pf3D7_01_v3,222254,223960,(-),223960,same,1149,opposite,620,protein,1,1707,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,16,20,20,1.313482798,1.313482798,Pf3D7_01_v3: 222254 - 223960 (-)
PF3D7_0105300,CAP,CAP,cyclase-associated protein (CAP),Pf3D7_01_v3,225110,225779,(-),225779,same,901,same,1149,protein,2,489,0,0,0,0,0,FALSE,1,1,other,0,0,0,0,0,4,0,0,-7.655723488,-7.655723488,Pf3D7_01_v3: 225110 - 225779 (-)
PF3D7_0105400,PF3D7_0105400.1 protein,PF3D7_0105400.1 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,226681,227285,(-),227285,same,1199,same,901,protein,2,423,0,0,2,1,secretoryPathway,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 226681 - 227285 (-)
PF3D7_0105500,PF3D7_0105500 protein,PF3D7_0105500 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,228485,229519,(-),229519,same,769,same,1199,protein,1,1035,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 228485 - 229519 (-)
PF3D7_0105600,PF3D7_0105600 protein,PF3D7_0105600 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,230289,234402,(-),234402,opposite,4263,same,769,protein,3,3675,0,0,2,0,secretoryPathway,FALSE,0,2,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 230289 - 234402 (-)
PF3D7_0105700,PF3D7_0105700 protein,PF3D7_0105700 protein,asparagine-rich antigen Pfa35-2,Pf3D7_01_v3,238666,247857,(+),238666,opposite,4263,opposite,1373,protein,1,9192,0,0,0,0,0,FALSE,1,1,other,0,0,0,0,0,0,4,4,9.639193365,9.639193365,Pf3D7_01_v3: 238666 - 247857 (+)
PF3D7_0105800,PF3D7_0105800 protein,PF3D7_0105800 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,249231,252010,(-),252010,opposite,1573,opposite,1373,protein,2,2499,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,3,3,9.225354616,9.225354616,Pf3D7_01_v3: 249231 - 252010 (-)
PF3D7_0105900,PF3D7_0105900 protein,PF3D7_0105900 protein,DNA binding protein putative,Pf3D7_01_v3,253584,254930,(+),253584,opposite,1573,opposite,844,protein,1,1347,0,0,0,0,nucleus,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 253584 - 254930 (+)
PF3D7_0106000,PF3D7_0106000 protein,PF3D7_0106000 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,255775,258543,(-),258543,same,2114,opposite,844,protein,1,2769,0,0,0,0,0,FALSE,2,4,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 255775 - 258543 (-)
PF3D7_0106100,PF3D7_0106100 protein,PF3D7_0106100 protein,V-type proton ATPase subunit C putative,Pf3D7_01_v3,260658,261809,(-),261809,same,1530,same,2114,protein,1,1152,0,0,0,0,mitochondrion,FALSE,1,1,other,0,0,0,0,0,20,9,9,-0.159387217,-0.159387217,Pf3D7_01_v3: 260658 - 261809 (-)
PF3D7_0106200,PF3D7_0106200 protein,PF3D7_0106200 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,263340,264223,(-),264223,same,984,same,1530,protein,2,648,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 263340 - 264223 (-)
PF3D7_0106300,ATP6,ATP6,calcium-transporting ATPase (ATP6),Pf3D7_01_v3,265208,269173,(-),269173,opposite,3280,same,984,protein,3,3687,0,0,8,0,intergralMembrane,FALSE,1,1,other,0,0,0,0,0,29,9,9,-0.695216345,-0.695216345,Pf3D7_01_v3: 265208 - 269173 (-)
PF3D7_0106400,PF3D7_0106400 protein,PF3D7_0106400 protein,pre-rRNA-processing protein TSR2 putative,Pf3D7_01_v3,272454,273404,(+),272454,opposite,3280,same,910,protein,4,471,0,0,0,0,0,FALSE,0,2,other,0,0,0,0,0,3,4,4,1.405573689,1.405573689,Pf3D7_01_v3: 272454 - 273404 (+)
PF3D7_0106500,PF3D7_0106500 protein,PF3D7_0106500 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,274315,278550,(+),274315,same,910,same,564,protein,1,4236,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 274315 - 278550 (+)
PF3D7_0106600,PF3D7_0106600 protein,PF3D7_0106600 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,279115,280014,(+),279115,same,564,same,1140,protein,1,900,0,0,0,1,secretoryPathway,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 279115 - 280014 (+)
PF3D7_0106700,AARP2,AARP2,small ribosomal subunit assembling AARP2 protein (AARP2),Pf3D7_01_v3,281155,285459,(+),281155,same,1140,same,1491,protein,1,4305,0,0,0,0,nucleus,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 281155 - 285459 (+)
PF3D7_0106800,RAB5c,RAB5c,ras-related protein Rab-5C (RAB5c),Pf3D7_01_v3,286951,288918,(+),286951,same,1491,same,1467,protein,9,645,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,11,5,5,-0.144197021,-0.144197021,Pf3D7_01_v3: 286951 - 288918 (+)
PF3D7_0106900,IspD,IspD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase putative (IspD),Pf3D7_01_v3,290386,292590,(+),290386,same,1467,same,1051,protein,1,2205,0,0,0,1,apicoplast,FALSE,0,1,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 290386 - 292590 (+)
PF3D7_0107000,CEN1,CEN1,centrin-1 (CEN1),Pf3D7_01_v3,293642,294968,(+),293642,same,1051,opposite,331,protein,6,507,0,0,0,0,nucleus,FALSE,0,0,other,0,0,0,0,0,5,3,3,0.256687822,0.256687822,Pf3D7_01_v3: 293642 - 294968 (+)
PF3D7_0107100,PF3D7_0107100 protein,PF3D7_0107100 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,295300,296931,(-),296931,opposite,430,opposite,331,protein,1,1632,0,0,0,0,0,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 295300 - 296931 (-)
PF3D7_0107200,PF3D7_0107200 protein,PF3D7_0107200 protein,carbon catabolite repressor protein 4 putative,Pf3D7_01_v3,297362,299397,(+),297362,opposite,430,opposite,164,protein,10,1014,0,0,0,0,0,FALSE,0,0,other,0,0,1,0,1,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 297362 - 299397 (+)
PF3D7_0107300,PF3D7_0107300 protein,PF3D7_0107300 protein,probable protein unknown function,Pf3D7_01_v3,299562,300868,(-),300868,opposite,2068,opposite,164,protein,2,1200,0,0,1,1,exported,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 299562 - 300868 (-)
PF3D7_0107400,PF3D7_0107400 protein,PF3D7_0107400 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,302937,303398,(+),302937,opposite,2068,opposite,963,protein,1,462,0,0,1,0,secretoryPathway,FALSE,0,0,other,0,0,0,0,0,9,6,6,0.407572824,0.407572824,Pf3D7_01_v3: 302937 - 303398 (+)
PF3D7_0107500,PF3D7_0107500 protein,PF3D7_0107500 protein,lipid/sterol:H+ symporter,Pf3D7_01_v3,304362,309257,(-),309257,opposite,5360,opposite,963,protein,4,4413,0,0,12,0,intergralMembrane,FALSE,0,0,other,0,0,0,0,0,2,0,0,-6.659316752,-6.659316752,Pf3D7_01_v3: 304362 - 309257 (-)
PF3D7_0107600,PF3D7_0107600 protein,PF3D7_0107600 protein,serine/threonine protein kinase putative,Pf3D7_01_v3,314618,319405,(+),314618,opposite,5360,same,762,protein,1,4788,0,0,1,0,secretoryPathway,FALSE,2,2,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 314618 - 319405 (+)
PF3D7_0107700,PF3D7_0107700 protein,PF3D7_0107700 protein,conserved Plasmodium membrane protein unknown function,Pf3D7_01_v3,320168,321508,(+),320168,same,762,same,862,protein,1,1341,0,0,5,1,exported,FALSE,1,1,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 320168 - 321508 (+)
PF3D7_0107800,MRE11,MRE11,double-strand break repair protein MRE11 (MRE11),Pf3D7_01_v3,322371,326072,(+),318480,same,862,opposite,324,protein,1,3702,0,0,0,0,nucleus,FALSE,0,0,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 322371 - 326072 (+)
PF3D7_0107900,PF3D7_0107900 protein,PF3D7_0107900 protein,conserved Plasmodium protein unknown function,Pf3D7_01_v3,326397,327224,(-),313627,same,1206,opposite,324,protein,1,828,0,0,0,1,secretoryPathway,FALSE,1,1,other,0,0,0,0,0,0,0,0,0.991734939,0.991734939,Pf3D7_01_v3: 326397 - 327224 (-)
PF3D7_0108000,PF3D7_0108000 protein,PF3D7_0108000 protein,proteasome subunit beta type-3 putative,Pf3D7_01_v3,328431,329558,(-),311293,opposite,1179,same,1206,protein,4,657,0,0,0,0,0,FALSE,1,1,proteasome,0,0,0,0,0,13,8,8,0.291988125,0.291988125,Pf3D7_01_v3: 328431 - 329558 (-)
